society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
Gated Community,8.4,21000,4000,4,5,3+,2,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,0,1,0,2.5,28.4104903,77.0394627,0
independent,3.55,24500,1449,4,4,3+,2,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,1,0,0,28.4274166,77.1097538,0
Gated Community,2.5,7058,3542,4,4,3+,3,0,5 to 10 Year Old,4,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,3.5,28.4007588,76.9210802,0
Gated Community,2.5,7058,3542,4,4,3+,3,0,5 to 10 Year Old,5,5,4,4,Fully Furnished,0,1,1,0,0,0,0,1,3.5,28.3981205,76.9411257,0
Gated Community,9,11250,6430.5,5,5,3+,3,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.4601,77.02635,0
independent,2.1,23333,900,3,3,2,3,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,1,1,0,0.5,28.4500427,77.0577093,0
independent,4.5,20000,2250,5,5,1,1,0,1 to 5 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4730128,77.0482686,0
independent,6.5,35400,1836,5,4,3+,3,5,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,0,0,0,1.5,28.4601,77.02635,0
independent,9.5,40135,2367,12,12,3+,4,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,1,1,28.4500427,77.0577093,0
independent,5,16244,3078,4,4,2,2,0,10+ Year Old,4,5,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0,28.510319,77.0530094,0
Gated Community,5.5,21605,2546,4,4,3+,2,2,0 to 1 Year Old,5,4,3,4,Fully Furnished,0,1,1,1,1,0,0,1,0.5,28.5109205,77.0065956,0
Gated Community,5.65,10463,5400,4,4,3+,2,2,0 to 1 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.5109205,77.0065956,0
Gated Community,8.8,41615,2115,4,4,3+,3,5,1 to 5 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,0,0,1,2.5,28.3974292,77.0538823,0
independent,3.25,14444,2250,3,3,2,2,5,10+ Year Old,5,5,5,5,Fully Furnished,0,0,0,1,1,0,0,0,0,28.4750063,77.0103535,0
independent,5,10101,4950,3,3,2,1,2,10+ Year Old,5,5,5,5,Fully Furnished,0,0,0,1,1,0,0,0,0,28.4750063,77.0103535,0
independent,10.45,38703,2700,4,5,2,3,1,5 to 10 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,2.5,28.4120009,77.0649962,0
Gated Community,15.7,22222,6430.5,5,6,3,2,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,0,3.5,28.4104903,77.0394627,0
independent,7.5,23148,3240,5,5,3+,2,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,1,1,0,0,0,0,1,1.5,28.3931076,76.9588762,0
independent,0.67,8557,783,3,2,1,1,4,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,1,1,0,0,0,1.5,28.4601,77.02635,0
Gated Community,5.75,16428,3500,4,4,2,3,5,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,0,0,1,0.5,28.5109205,77.0065956,0
Gated Community,5.7,10556,5400,4,5,3+,3,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,0,0,0,0,1,3.5,28.4601,77.02635,0
independent,3.2,13519,2367,3,3,2,1,0,10+ Year Old,4,4,4,4,Fully Furnished,1,0,0,1,1,0,0,0,0,28.3840986,76.8861337,0
independent,11.5,42032,2736,12,13,3+,4,7,1 to 5 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,2.5,28.4253232,77.0985157,0
Gated Community,7.69,24069,3195,4,5,3,2,3,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,0,0,0,0,0,3.5,28.4104903,77.0394627,0
independent,7,21605,3240,4,4,3+,1,2,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,2.5,28.3931076,76.9588762,0
independent,1.55,13889,1116,2,2,2,1,0,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.4662572,77.0142654,0
independent,3.85,14650,2628,4,4,3,3,3,10+ Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.3760277,76.9122152,0
independent,2,13889,1440,2,2,2,2,3,10+ Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.3760277,76.9122152,0
independent,3.1,13778,2250,3,3,2,2,3,10+ Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.3760277,76.9122152,0
independent,2.25,15625,1440,3,3,2,2,3,10+ Year Old,4,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.3760277,76.9122152,0
independent,7,23333,3000,4,4,2,3,2,10+ Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.4150509,77.0642955,0
Gated Community,8.5,21250,4000,4,5,3+,2,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,3,28.4104903,77.0394627,0
Gated Community,8.7,38667,2250,4,5,2,3,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,0,0,0,0,0,1.5,28.3974292,77.0538823,0
Gated Community,12.5,26667,4687,5,6,3,3,0,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,3.5,28.5109205,77.0065956,0
Gated Community,6.8,12593,5400,4,5,3,2,3,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.5109205,77.0065956,0
Gated Community,9.5,26389,3600,7,6,3,3,7,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,0,0,0,0,0,2.5,28.5109205,77.0065956,0
Gated Community,7,12963,5400,5,6,2,2,7,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,0,0,0,0,1,0.5,28.5109205,77.0065956,0
Gated Community,6.2,25514,2430,5,5,2,2,6,1 to 5 Year Old,5,4,3,4,Fully Furnished,1,1,1,0,0,0,0,0,0.5,28.5109205,77.0065956,0
Gated Community,3.6,24845,1449,5,5,3+,3,2,5 to 10 Year Old,4,5,5,4,Fully Furnished,0,1,1,1,1,1,1,0,0.5,28.4253232,77.0985157,0
