society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
Gated Community,1.3,23557,552,5,2,1,3,6,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.6273247,75.96433886,1
independent,3.2,59259,540,14,14,3+,6,7,1 to 5 Year Old,4,5,5,4,Fully Furnished,0,0,1,1,0,0,0,0,0,28.4601,77.02635,0
independent,0.6,105263,57,3,3,1,2,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4601,77.02635,0
Gated Community,1.95,21195,920,3,5,3+,2,0,5 to 10 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4795324,76.9937197,0
Gated Community,1.25,151,6430.5,10,6,2,3,5,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,1,0,0,0.5,28.4601,77.02635,0
Gated Community,6.1,25103,2430,5,6,3+,2,0,5 to 10 Year Old,5,4,3,4,Fully Furnished,0,1,0,1,0,0,0,0,0.5,28.5109205,77.0065956,0
independent,0.5,13889,360,5,3,3,3,0,10+ Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2,14954,1337,3,1,0,3,1,5 to 10 Year Old,4,3,4,4,Unfurnished,1,0,1,0,0,0,0,0,0,28.3247096,76.9263787,0
Gated Community,2.1,23333,900,8,8,3+,4,5,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,0,1,1,1,1,1,0,0.5,28.4772236,77.0832762,0
Gated Community,1.25,8784,1423,3,3,2,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,1.5,28.4601,77.02635,0
independent,0.65,6500,1000,6,2,3,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3593202,77.077969,0
Gated Community,11.5,35494,3240,5,6,0,1,3,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4150509,77.0642955,0
independent,0.9,11464,785,5,4,3,3,3,5 to 10 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,3,28.47748,77.037207,0
Gated Community,0.75,11718,640,5,4,3,2,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.3,11555,1125,3,3,1,2,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,1,0,0,1,0,0,0,28.493768,77.00577,0
Gated Community,0.48,50000,96,2,2,1,1,2,0 to 1 Year Old,4,4,4,3,Fully Furnished,0,1,0,1,1,0,0,1,2.5,28.6273247,75.96433886,1
independent,0.68,3874,1755,5,3,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.5,7576,1980,7,2,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3627664,76.9193261,0
independent,1.3,11556,1125,3,3,1,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.6,10753,558,2,2,1,1,2,5 to 10 Year Old,5,5,5,4,Fully Furnished,0,0,0,1,0,0,0,0,0,28.4601,77.02635,0
Gated Community,6.5,20635,3150,4,4,3+,2,0,5 to 10 Year Old,4,5,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.473784,77.0471827,0
independent,0.49,10378,472,2,1,0,1,0,10+ Year Old,4,4,5,5,Fully Furnished,0,0,1,0,0,0,0,0,0,39.11251,-100.35875,-1
independent,1.07,11888,900,2,2,1,1,0,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.4655641,77.0392943,0
independent,2.1,17284,1215,6,6,3+,3,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,1,1,1,1,0,0,0,28.6273247,75.96433886,1
independent,4.6,32258,1426,2,2,2,2,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4527426,77.0431979,0
independent,1,11111,900,3,4,2,2,0,1 to 5 Year Old,3,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4967161,77.0274408,0
independent,1.1,12222,900,6,4,1,1,6,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,2.95,16389,1800,4,3,2,3,1,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,0,0,1,1.5,28.3960701,77.0372311,0
Gated Community,4.6,31506,1460,6,4,3+,3,0,10+ Year Old,5,5,5,4,Fully Furnished,0,0,0,1,0,0,0,0,0.5,28.4601,77.02635,0
independent,0.35,9722,360,2,2,1,2,5,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.5,12820,1170,12,9,1,3,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,1,1,1,1,0,0,1,3,28.4601,77.02635,0
independent,10,229885,435,8,10,3+,1,7,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,5.2,10000,5200,4,5,2,1,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5115958,77.0364654,0
independent,0.4,8889,450,1,1,0,1,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.62,12400,500,3,3,1,2,0,5 to 10 Year Old,4,4,4,3,Fully Furnished,0,0,0,0,0,0,0,0,0.5,28.4714278,77.0939848,0
independent,0.5,9259,540,5,3,2,3,7,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,5,232,6430.5,6,5,3+,2,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,3,28.4166536,77.0611745,0
independent,0.92,15257,603,4,4,3,4,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4601,77.02635,0
independent,3.5,218750,160,6,6,3+,3,3,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.8,54794,146,5,4,3,3,0,0 to 1 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.5,14245,1053,2,3,2,1,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,0,1,1,1,0,1,0,2,28.3241636,77.0848644,0
independent,2.25,6367,3534,3,5,3+,10,4,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.493087,76.9866453,0
independent,13.5,37313,3618,5,6,3+,4,2,10+ Year Old,5,5,5,5,Fully Furnished,0,0,1,1,1,0,0,1,0.5,28.483901,77.0846097,0
independent,0.5,90909,55,12,4,3,4,0,10+ Year Old,3,4,5,4,Fully Furnished,0,0,1,1,0,0,0,0,0,28.47748,77.037207,0
Gated Community,1.7,9444,1800,1,1,1,1,0,10+ Year Old,3,4,4,4,Fully Furnished,0,0,0,1,1,0,0,0,0.5,28.4601,77.02635,0
independent,0.45,5000,900,3,2,1,2,3,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.4601,77.02635,0
Gated Community,3.6,19231,1809,5,3,2,3,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.2,10122,1186,6,2,1,2,3,10+ Year Old,4,4,4,4,Fully Furnished,1,0,0,0,0,1,0,0,0,28.4601,77.02635,0
independent,1.8,10000,1800,4,3,1,1,2,10+ Year Old,4,4,4,4,Fully Furnished,1,0,1,0,0,0,0,0,0,28.4601,77.02635,0
independent,1.5,8642,1736,5,3,2,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3864052,77.0598046,0
Gated Community,0.35,6481,540,2,2,0,1,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5007712,77.0398992,0
independent,0.55,6707,820,2,2,1,2,5,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,4.3,245398,175,13,13,3+,5,3,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,0,28.4601,77.02635,0
Gated Community,0.4,9259,432,1,1,1,1,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,3.6,19231,1809,4,4,3+,4,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,0,0,1,1.5,28.4601,77.02635,0
independent,3,11904,2520,4,4,0,3,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.43,9135,471,3,3,3,2,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.32,7111,450,2,3,1,1,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.47,8012,587,2,1,1,1,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4601,77.02635,0
Gated Community,5.5,183333,300,9,9,3+,3,4,5 to 10 Year Old,4,5,5,4,Fully Furnished,0,1,0,1,0,0,1,0,2,28.4368166,77.0795276,0
Gated Community,0.75,12500,600,3,5,3,3,5,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4621977,77.0185742,0
independent,0.71,10142,700,4,2,1,2,0,0 to 1 Year Old,3,3,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.38,8444,450,2,2,1,1,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,3.25,8125,4000,4,3,3+,20,0,0 to 1 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.493087,76.9866453,0
Gated Community,0.53,14583,363,4,4,2,3,0,1 to 5 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,2.3,17037,1350,5,3,3+,3,2,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,0,2.5,28.3760277,76.9122152,0
independent,1.5,11538,1300,10,7,3,4,0,5 to 10 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4457089,77.0335861,0
Gated Community,1.1,8730,1260,9,3,3,3,0,10+ Year Old,3,4,3,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.4601,77.02635,0
independent,1.35,12222,1105,5,5,1,3,0,10+ Year Old,3,4,4,4,Fully Furnished,1,0,1,1,1,0,0,0,0,28.4601,77.02635,0
Gated Community,1.3,14444,900,6,4,2,3,2,5 to 10 Year Old,5,5,5,5,Fully Furnished,0,0,0,0,0,0,1,0,1.5,28.4608629,77.0292838,0
independent,1.25,11574,1080,5,5,1,2,4,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1,38.07086,-95.36554,-1
independent,3.6,19231,1809,7,2,2,2,4,10+ Year Old,3,3,4,3,Fully Furnished,0,0,1,0,0,0,0,0,0,28.445846,77.0209819,0
Gated Community,1.44,26667,540,4,2,2,1,0,10+ Year Old,4,5,5,4,Unfurnished,0,0,0,1,0,0,0,0,0,28.4601,77.02635,0
Gated Community,0.5,11111,450,2,2,2,2,7,0 to 1 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,0,1,0,3,28.462276,77.0410012,0
independent,1,8230,1215,9,7,3+,3,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4601,77.02635,0
independent,5.5,13095,4200,9,9,3+,3,4,5 to 10 Year Old,5,4,4,5,Fully Furnished,1,1,1,1,1,1,1,0,1,28.5056942,77.0463022,0
Gated Community,5.5,30556,1800,4,3,3,2,1,10+ Year Old,4,5,5,4,Fully Furnished,0,0,1,1,0,0,1,0,1.5,28.4772236,77.0832762,0
independent,0.8,11852,675,5,3,1,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.9,10000,900,7,4,3+,4,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0,28.4532911,77.017516,0
independent,4.3,29311,1467,6,4,2,2,0,5 to 10 Year Old,5,4,5,5,Unfurnished,1,1,1,1,1,1,1,0,0.5,28.4251572,77.0475128,0
Gated Community,0.9,11250,800,5,5,3,3,0,1 to 5 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4522331,77.0267159,0
independent,3.25,30384,1070,4,4,3,3,0,10+ Year Old,4,5,5,4,Fully Furnished,0,0,1,1,0,0,0,0,0,28.503445,77.0952048,0
independent,0.38,8444,450,1,1,1,1,3,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,0,28.4714278,77.0939848,0
independent,3.71,19818,1872,3,3,1,4,0,5 to 10 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4601,77.02635,0
Gated Community,13,1992,6430.5,10,10,3+,1,0,0 to 1 Year Old,5,4,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.4,7619,525,2,2,1,1,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.55,98214,56,4,4,0,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.3,13499,963,5,3,2,3,0,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.467026,77.0136083,0
Gated Community,0.75,7820,959,2,2,3,1,0,0 to 1 Year Old,5,4,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.3,5555,540,1,1,2,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.18,4000,450,2,1,1,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.55,14720,1053,2,3,2,1,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,2,28.3241636,77.0848644,0
independent,0.32,5664,565,5,1,0,1,0,0 to 1 Year Old,4,3,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.44515,76.93947,0
independent,4,19753,2025,5,4,1,2,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4522331,77.0267159,0
independent,0.38,76000,50,2,2,2,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,12,37037,3240,5,6,3+,3,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4212898,77.062917,0
Gated Community,8,63492,1260,2,1,0,1,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4527426,77.0431979,0
independent,0.45,9000,500,1,1,1,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3761832,76.8917951,0
independent,1.2,4444,2700,7,3,0,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4522331,77.0267159,0
Gated Community,0.4,2500,1600,4,2,2,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4753259,77.0258279,0
independent,1,6667,1500,1,1,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.5,3704,1350,5,2,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.15,12777,900,2,2,3,4,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.7,6648,1053,3,3,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,3.08,11407,2700,6,4,2,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4552808,77.0237905,0
independent,2.95,20233,1458,2,2,0,1,1,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4253232,77.0985157,0
Gated Community,8,17778,4500,6,5,3+,4,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,6.5,20062,3240,4,3,0,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3931076,76.9588762,0
independent,3,11494,2610,7,7,0,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,8,25543,3132,6,5,3+,4,0,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2.75,12343,2228,6,6,2,2,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4651369,77.0322597,0
independent,2.25,16892,1332,5,3,0,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.467026,77.0136083,0
independent,1.45,8000,1812,3,2,1,1,1,1 to 5 Year Old,4,4,5,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,3.5,17500,2000,3,3,1,2,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.82,3904,2100,3,2,1,1,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4022236,77.0392977,0
Gated Community,10.5,14323,6430.5,5,4,3+,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4421059,77.1112654,0
independent,0.38,4222,900,3,3,3,3,0,1 to 5 Year Old,3,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4624763,77.0276631,0
Gated Community,10,181818,550,5,6,3,4,2,0 to 1 Year Old,3,4,4,4,Fully Furnished,0,1,0,1,0,0,1,0,1.5,28.4384785,77.0251655,0
Gated Community,0.75,75000,100,2,3,2,3,0,10+ Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.6,26620,1728,7,6,3+,4,0,5 to 10 Year Old,5,4,5,5,Fully Furnished,1,1,1,1,0,0,1,0,0,28.4234344,77.0468649,0
independent,0.5,5555,900,2,1,2,1,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4243234,77.0383471,0
independent,7,10000,6430.5,10,11,3+,4,5,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,1,1,28.4423675,77.0504724,0
Gated Community,0.35,9722,360,2,1,0,2,0,10+ Year Old,3,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.95,9500,1000,5,3,2,2,7,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4333189,76.9813419,0
independent,1.6,17937,892,1,1,2,2,0,10+ Year Old,4,4,5,4,Unfurnished,0,1,1,1,1,1,1,0,0,28.4423675,77.0504724,0
independent,0.29,3254,891,2,1,0,0,7,10+ Year Old,4,3,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4452309,76.9379442,0
Gated Community,0.24,5333,450,2,2,0,2,1,1 to 5 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.3504798,77.0618737,0
independent,5.6,30556,1833,4,3,3+,3,6,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,0,0,0,0,0,0,1,0,28.4601,77.02635,0
independent,0.55,4583,1200,2,2,0,2,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,5,12500,4000,6,4,0,3,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5115958,77.0364654,0
independent,1.8,21875,823,1,1,2,3,2,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4423675,77.0504724,0
independent,1.5,16667,900,9,3,3+,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.05,7075,1484,3,3,3,3,5,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,53.35222,-7.20167,-1
independent,1.8,8078,2228,8,5,2,1,4,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.44,4251,1035,3,2,1,1,0,1 to 5 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,1,0,0,1.5,28.3504798,77.0618737,0
Gated Community,0.83,17584,472,5,3,2,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.7,5397,1297,2,2,2,14,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.98,9074,1080,9,4,3,1,4,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
Gated Community,3.35,5583,6000,6,5,3+,3,4,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5093541,77.0386599,0
independent,0.47,3519,1336,3,4,0,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.2,11194,1072,5,4,2,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,9,100000,900,10,5,3+,4,0,10+ Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.47748,77.037207,0
Gated Community,3.09,6981,4426,5,5,3+,14,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,1,0.5,28.4601,77.02635,0
Gated Community,3.15,6702,4700,4,5,0,12,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.493087,76.9866453,0
independent,1.7,9444,1800,3,3,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.75,10556,4500,6,7,0,4,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.65,18333,900,2,3,0,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4622211,76.9994738,0
Gated Community,0.85,4877,1743,4,4,3,4,0,0 to 1 Year Old,5,4,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2,7479,2674,4,3,0,1,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4022236,77.0392977,0
independent,0.74,7400,1000,3,3,0,2,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.85,16003,1156,4,3,2,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.4,8000,500,2,1,0,1,4,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.85,9444,900,5,3,3,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.69,9103,758,1,1,1,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.85,7727,1100,2,2,0,4,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,13,45710,2844,6,8,3+,2,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,3.5,28.483901,77.0846097,0
independent,1.4,8702,1609,2,2,1,2,2,10+ Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.8,5950,3025,5,5,3+,3,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.7,3500,2000,4,4,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.7,9722,720,4,3,2,3,7,1 to 5 Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,0,0,0,2,28.4645841,76.9828171,0
Gated Community,2.4,8889,2700,10,5,3,2,1,10+ Year Old,4,5,5,5,Fully Furnished,0,0,0,0,0,0,0,0,2.5,28.4601,77.02635,0
independent,3.35,26973,1242,1,1,0,1,0,10+ Year Old,4,4,4,4,Fully Furnished,1,0,0,0,0,0,0,0,0,28.4601,77.02635,0
independent,7,32407,2160,3,2,0,1,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4150509,77.0642955,0
independent,1.65,13750,1200,1,1,0,1,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4568853,77.0669025,0
independent,0.6,6000,1000,1,1,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2.43,14890,1632,4,4,2,3,6,10+ Year Old,4,5,5,5,Fully Furnished,0,0,1,1,1,1,0,0,3,28.4601,77.02635,0
independent,3.5,9210,3800,1,1,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.34,6800,500,1,1,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.75,10518,713,6,4,1,3,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,0,1,1,1,1,0,0,0,28.4753259,77.0258279,0
independent,0.55,7333,750,1,1,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,38.5,-0.5,-1
